CMDLINE /opt/anaconda3/bin/python artificialneuralnetwork-profiling.py
MEM 253.234375 1739816295.9993
MEM 253.234375 1739816296.1050
MEM 253.250000 1739816296.2078
MEM 253.250000 1739816296.3140
MEM 253.250000 1739816296.4192
MEM 253.250000 1739816296.5257
MEM 253.250000 1739816296.6317
MEM 253.250000 1739816296.7343
MEM 253.250000 1739816296.8376
MEM 253.265625 1739816296.9459
MEM 253.265625 1739816297.0618
MEM 252.859375 1739816297.1666
MEM 252.859375 1739816297.2724
MEM 252.859375 1739816297.3776
MEM 252.859375 1739816297.4821
MEM 252.875000 1739816297.5867
MEM 252.875000 1739816297.6911
MEM 252.875000 1739816297.7981
MEM 252.875000 1739816297.9065
MEM 252.875000 1739816298.0117
MEM 252.875000 1739816298.1156
MEM 253.000000 1739816298.2183
MEM 253.000000 1739816298.3288
MEM 253.000000 1739816298.4371
MEM 253.000000 1739816298.5438
MEM 253.000000 1739816298.6496
MEM 253.000000 1739816298.7553
MEM 253.015625 1739816298.8605
MEM 253.015625 1739816298.9666
MEM 253.015625 1739816299.0728
MEM 253.015625 1739816299.1735
MEM 253.015625 1739816299.2774
MEM 253.015625 1739816299.3865
MEM 253.015625 1739816299.4981
MEM 253.015625 1739816299.6057
MEM 253.015625 1739816299.7094
MEM 253.015625 1739816299.8131
MEM 253.015625 1739816299.9198
MEM 253.015625 1739816300.0297
MEM 254.125000 1739816300.1363
MEM 254.562500 1739816300.2446
MEM 254.562500 1739816300.3534
MEM 249.281250 1739816300.4820
MEM 249.281250 1739816300.5895
MEM 252.781250 1739816300.7043
MEM 252.781250 1739816300.8090
MEM 252.781250 1739816300.9176
MEM 236.015625 1739816301.0255
MEM 241.796875 1739816301.1392
MEM 240.203125 1739816301.2479
MEM 240.375000 1739816301.3543
MEM 240.390625 1739816301.4660
MEM 240.390625 1739816301.5680
MEM 240.390625 1739816301.6763
MEM 240.484375 1739816301.7814
MEM 240.484375 1739816301.8889
MEM 240.484375 1739816301.9951
MEM 245.250000 1739816302.1002
MEM 245.250000 1739816302.2077
MEM 245.281250 1739816302.3141
MEM 245.281250 1739816302.4165
MEM 245.281250 1739816302.5172
MEM 245.281250 1739816302.6214
MEM 245.281250 1739816302.7283
MEM 245.281250 1739816302.8346
MEM 245.296875 1739816302.9411
MEM 245.390625 1739816303.0470
MEM 245.390625 1739816303.1502
MEM 245.390625 1739816303.2554
MEM 245.390625 1739816303.3716
MEM 245.390625 1739816303.4761
MEM 245.406250 1739816303.5773
MEM 245.406250 1739816303.6845
MEM 245.500000 1739816303.7915
MEM 245.500000 1739816303.8984
MEM 245.593750 1739816304.0072
MEM 245.593750 1739816304.1097
MEM 245.593750 1739816304.2130
MEM 245.796875 1739816304.3182
MEM 245.796875 1739816304.4263
MEM 245.796875 1739816304.5367
MEM 245.796875 1739816304.6373
MEM 245.796875 1739816304.7513
MEM 245.796875 1739816304.8548
MEM 245.796875 1739816304.9654
MEM 245.796875 1739816305.0768
MEM 246.000000 1739816305.1821
MEM 246.000000 1739816305.2858
MEM 246.000000 1739816305.3912
MEM 246.015625 1739816305.4983
MEM 246.015625 1739816305.6000
MEM 246.015625 1739816305.7160
MEM 246.015625 1739816305.8252
MEM 246.015625 1739816305.9315
MEM 246.015625 1739816306.0338
MEM 246.015625 1739816306.1392
MEM 246.015625 1739816306.2442
MEM 246.015625 1739816306.3504
MEM 246.015625 1739816306.4555
MEM 246.015625 1739816306.5606
MEM 246.015625 1739816306.6691
MEM 246.015625 1739816306.7711
MEM 246.031250 1739816306.8763
MEM 246.031250 1739816306.9841
MEM 246.031250 1739816307.0893
MEM 246.031250 1739816307.1984
MEM 246.031250 1739816307.3027
MEM 246.031250 1739816307.4079
MEM 246.031250 1739816307.5119
MEM 246.031250 1739816307.6138
MEM 246.031250 1739816307.7271
MEM 246.031250 1739816307.8345
MEM 247.843750 1739816307.9420
MEM 247.843750 1739816308.0460
MEM 247.843750 1739816308.1522
MEM 247.843750 1739816308.2538
MEM 247.843750 1739816308.3590
MEM 247.859375 1739816308.4671
MEM 247.859375 1739816308.5718
MEM 247.859375 1739816308.6786
MEM 247.859375 1739816308.7876
MEM 238.437500 1739816308.8957
MEM 238.437500 1739816309.0011
MEM 238.453125 1739816309.1146
MEM 238.453125 1739816309.2198
MEM 238.453125 1739816309.3257
MEM 238.453125 1739816309.4294
MEM 238.453125 1739816309.5349
MEM 238.453125 1739816309.6385
MEM 238.453125 1739816309.7416
MEM 238.468750 1739816309.8467
MEM 238.468750 1739816309.9497
MEM 238.468750 1739816310.0593
MEM 194.078125 1739816310.1605
MEM 194.078125 1739816310.2638
MEM 194.078125 1739816310.3736
MEM 194.078125 1739816310.4875
MEM 194.296875 1739816310.5886
MEM 194.296875 1739816310.6957
MEM 194.296875 1739816310.8007
MEM 194.296875 1739816310.9056
MEM 194.312500 1739816311.0107
MEM 194.328125 1739816311.1159
MEM 194.421875 1739816311.2248
MEM 194.421875 1739816311.3285
MEM 194.421875 1739816311.4377
MEM 194.421875 1739816311.5460
MEM 194.421875 1739816311.6514
MEM 194.421875 1739816311.7586
MEM 194.421875 1739816311.8614
MEM 194.421875 1739816311.9690
MEM 194.421875 1739816312.0882
MEM 194.421875 1739816312.1897
MEM 194.421875 1739816312.2936
MEM 194.421875 1739816312.3985
MEM 194.781250 1739816312.5037
MEM 194.781250 1739816312.6090
MEM 194.781250 1739816312.7157
MEM 196.609375 1739816312.8188
MEM 196.609375 1739816312.9219
MEM 196.609375 1739816313.0238
MEM 196.625000 1739816313.1297
MEM 196.625000 1739816313.2373
MEM 196.625000 1739816313.3425
MEM 196.625000 1739816313.4486
MEM 196.625000 1739816313.5546
MEM 196.625000 1739816313.6599
MEM 196.640625 1739816313.7679
MEM 196.640625 1739816313.8718
MEM 196.640625 1739816313.9769
MEM 196.703125 1739816314.0808
MEM 196.703125 1739816314.1921
MEM 196.703125 1739816314.3013
MEM 196.703125 1739816314.4068
MEM 196.703125 1739816314.5136
MEM 196.703125 1739816314.6210
MEM 196.703125 1739816314.7239
MEM 196.703125 1739816314.8270
MEM 196.718750 1739816314.9355
MEM 196.734375 1739816315.0400
MEM 196.734375 1739816315.1457
MEM 196.734375 1739816315.2522
